Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_manipulator_link1,-7.82410358257657E-06,-0.0181689701674135,0.148600810866439,0,0,0,2.57873101367082,0.00835867407580836,2.29931665414118E-06,2.12674399096342E-06,0.008509040841585,-0.00228223234711189,0.00869869730483736,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link1.STL,,right_manipulator_link1^construct-1,right_manipulator_coord1,right_manipulator_axis1,right_manipulator_joint1,revolute,0,0,0.1073,0,0,0,right_manipulator_base_link,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link2,-1.28265535670469E-06,0.464813426482565,0.133590251397412,0,0,0,18.6675270345251,0.486061951018069,2.31528060607426E-06,2.13849798201568E-06,0.0563638160963733,1.47266635714399E-05,0.486761950369755,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link2.STL,,right_manipulator_link2^construct-1,right_manipulator_coord2,right_manipulator_axis2,right_manipulator_joint2,revolute,0,0.12,0.134,1.5708,0,-3.1416,right_manipulator_link1,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link3,1.07336974475292E-06,0.0128746592487388,-0.0787137943297136,0,0,0,3.51858424049439,0.00986845983392826,1.19155758443985E-08,1.6109254044209E-08,0.0102207475740869,0.00229695824724019,0.0101224880660249,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link3.STL,,right_manipulator_link3^construct-1,right_manipulator_coord3,right_manipulator_axis3,right_manipulator_joint3,revolute,0,0.885,0.0365,0,0,0,right_manipulator_link2,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link4,-4.74726867294439E-06,0.0698856284352851,0.347470930284585,0,0,0,10.1069948634129,0.385425251786698,1.8092733254185E-07,1.0845260482231E-06,0.358903035401587,-0.0890480084339319,0.0471925532618561,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link4.STL,,right_manipulator_link4^construct-1,right_manipulator_coord4,right_manipulator_axis4,right_manipulator_joint4,revolute,0,0.0975,-0.09,1.5708,0,3.1416,right_manipulator_link3,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link5,3.33949426423175E-06,0.00696629146758543,0.0549279144768857,0,0,0,1.13314280284386,0.00132707637025073,3.10730263751509E-08,3.78995815686463E-10,0.00138729124229195,-0.000318692892096857,0.00134039089547324,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link5.STL,,right_manipulator_link5^construct-1,right_manipulator_coord5,right_manipulator_axis5,right_manipulator_joint5,revolute,0,0.0597,0.7875,1.5708,0,0,right_manipulator_link4,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link6,2.37285793569519E-05,0.000335497971714449,0.0301949633974274,0,0,0,0.424231397901505,0.000299224095311277,-1.33498419454083E-08,-1.66932638891931E-07,0.000302897453637012,-2.23237462635028E-08,0.00049064209294195,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link6.STL,,right_manipulator_link6^construct-1,right_manipulator_coord6,right_manipulator_axis6,right_manipulator_joint6,revolute,0,0.0695,0.0597,-1.5708,0,0,right_manipulator_link5,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link_ee,0.0779465134589721,0.0342647649247861,-0.0515562382590877,0,0,0,0.927284628443802,0.00208949077754504,-0.000552198870604648,0.000132815084604035,0.00220758179647275,0.000128581805453679,0.00166524077454219,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link_ee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link_ee.STL,,right_manipulator_link_ee^construct-1,right_manipulator_coord_ee,right_manipulator_axis_ee,right_manipulator_joint_ee,fixed,0,0,0.0575,3.1416,0,0,right_manipulator_link6,0,0,0,,,,,,,,,,,,
right_D435_link,-0.19098582613116,0.914635226470393,-2.26231173473089,0,0,0,236.684811201339,276.652104765068,-25.5417503492382,-22.7469206053575,318.960281487979,39.5272203132473,156.242899020725,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_D435_link.STL,1,1,1,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_D435_link.STL,,,right_D435_coord,right_D435_axis,right_D435_joint,fixed,-0.11134,-0.057825,-0.052085,2.8798,0,2.0498,right_manipulator_link_ee,0,0,0,,,,,,,,,,,,
robot_head_base_link,-6.72003924034881E-06,-2.65996358386478E-05,0.0198600291933282,0,0,0,0.229518391569927,0.000282665156032664,-2.43292398388385E-07,-3.03275959167182E-08,0.000282486900930974,-1.1738632519686E-08,0.000387961270929751,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_head_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_head_base_link.STL,,robot_head_base_link^construct-1,robot_head_base_coord,robot_head_base_axis,robot_head_base_joint,fixed,0,-0.055,1.4055,-3.1416,0,0,robot_base_link,0,0,0,,,,,,,,,,,,
robot_head_rev_link1,0.0143391595073612,-0.0055354989579369,0.0508427901428836,0,0,0,0.245342833112834,0.000228752281554918,-5.76271794701628E-06,7.03790080400795E-06,0.000229507849545192,2.19107010308998E-06,0.00022842564589815,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_head_rev_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_head_rev_link1.STL,,robot_head_rev_link1^construct-1,robot_head_rev_coord1,robot_head_rev_axis1,robot_head_rev_joint1,revolute,0,0,-0.015,3.1416,0,0,robot_head_base_link,0,0,-1,0,0,0,0,,,,,,,,
robot_head_rev_link2,1.17217223976895E-05,0.0123398396556855,0.00544060276319358,0,0,0,0.0581188623839168,2.38229031555522E-05,-2.06778815573959E-08,1.18398021737583E-09,1.68439895642845E-05,2.21959580043037E-07,3.9253649892435E-05,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_head_rev_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_head_rev_link2.STL,,robot_head_rev_link2^construct-1,robot_head_rev_coord2,robot_head_rev_axis2,robot_head_rev_joint2,revolute,0.051,-0.0075,0.067,1.5708,0,1.5708,robot_head_rev_link1,0,0,-1,0,0,0,0,,,,,,,,
helios_link,0.00039494527353201,0.00185577717424401,-0.0547254206253032,0,0,0,0.654565936249776,0.000927188009536675,2.08595000282248E-09,2.84196141570598E-07,0.00111603807469944,1.02844320529336E-05,0.00101560110142056,0,0,0,0,0,0,package://construct_robot_0528/meshes/helios_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/helios_link.STL,,helios_link^construct-1,helios_coord,helios_axis,helios_joint,fixed,-0.0563,0.084,-0.055,3.1416,1.5708,0,robot_head_rev_link2,0,0,0,,,,,,,,,,,,
zed_bracket_link,1.16018306073329E-14,1.72270700883603E-05,-0.00122888692706247,0,0,0,0.0136565534073743,6.44438439541592E-07,1.3351925501957E-14,6.72035807011517E-20,2.02306294623712E-05,9.75987103570769E-11,2.0510402115516E-05,0,0,0,0,0,0,package://construct_robot_0528/meshes/zed_bracket_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/zed_bracket_link.STL,,zed_bracket_link^construct-1,zed_bracket_coord,zed_bracket_axis,zed_bracket_joint,fixed,0,-0.039,-0.0168,1.5708,0,-3.1416,helios_link,0,0,0,,,,,,,,,,,,
zed2i_link,5.25818017657054E-05,0.00016829527480211,-0.0306786005943727,0,0,0,0.441895503677643,0.000212337644975469,1.38578001039203E-09,-1.09479137301005E-09,0.00136585609554086,9.68597824268884E-08,0.00132449044413947,0,0,0,0,0,0,package://construct_robot_0528/meshes/zed2i_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/zed2i_link.STL,,zed2i_link^construct-1,zed_coord,zed_axis,zed2i_joint,fixed,0,0.014907,-0.027,1.5708,0,3.1416,zed_bracket_link,0,0,0,,,,,,,,,,,,
controlbox_link,0.00181664445834956,-0.0122838021876752,-0.485600423034744,0,0,0,17.2171984396803,0.255698808752668,-8.50987740757379E-06,0.000244663048446298,0.704323854081238,5.18158163931577E-06,0.547428779029648,0,0,0,0,0,0,package://construct_robot_0528/meshes/controlbox_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/controlbox_link.STL,,controlbox_link^construct-1,controlbox_coord,controlbox_axis,controlbox_joint,fixed,0,0.51,0.33,-3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
testbed_link,-0.0826069016708251,-1.48562273594166E-10,0.822303228306994,0,0,0,26.9175425890455,4.98295079146114,-1.53210210662596E-06,3.67887976242109E-12,5.11990748743831,2.39145132238029E-11,0.335285037184983,0,0,0,0,0,0,package://construct_robot_0528/meshes/testbed_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/testbed_link.STL,,testbed_link^construct-1,testbed_coord,testbed_axis,testbed_joint,fixed,0.005744,-1.95,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
